ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests,other_non_operating_income_expenses
FCBC,TTM,158155.0,,,,,,,66367.0,14412.0,51955.0,51955.0,2.81,2.81,18539.54,18582.97,,,51955.0,55712.65,,,,,,,6398.0,51955.0,,0.0,-4800.0,-4800.0,-1042.35,,,-3293.0,83695.0,-4800.0,125658.0,4930.0,,,
FCCO,TTM,55957.0,,,,,,,13733.0,2818.0,10915.0,10915.0,1.43,1.42,7592.0,7665.0,,,10915.0,10802.93,,,,,,,1914.0,10915.0,,0.0,141.0,141.0,28.93,,,-1456.0,40863.0,95.0,47713.0,,,,
FCEL,TTM,85268.0,111733.0,-26465.0,127367.0,-153832.0,5968.0,1230.0,-146634.0,2.0,-118157.0,-118157.0,-0.26,-0.26,464766.87,464766.87,-153832.0,239100.0,-114957.0,-114957.0,15457.0,9489.0,5968.0,-137145.0,-103040.0,111733.0,34105.0,-114957.0,-103040.0,0.0,,,,,,,,,,,,,
FCF,TTM,478938.0,,,,,,,199062.0,40367.0,158695.0,158695.0,1.56,1.55,102035.33,102300.5,,,158695.0,163404.94,,,,,,,4438.0,158695.0,,0.0,-5908.0,-5908.0,-1198.06,,,-16085.0,258056.0,-5735.0,361929.0,9404.0,,,
FCFS,TTM,3356837.0,1743344.0,1613493.0,1178806.0,434687.0,-102992.0,-6964.0,324731.0,79874.0,244857.0,244857.0,5.42,5.41,45083.0,45293.25,,2922150.0,244857.0,251603.31,1623.0,104615.0,-102992.0,429346.0,974488.0,1304344.0,545142.0,244857.0,983435.0,0.0,-8947.0,-8947.0,-2200.69,,,,,,,,,,
FCN,TTM,3728412.0,2505671.0,1222741.0,813103.0,409638.0,-5561.0,,394000.0,81989.0,312011.0,312011.0,8.90,8.71,35103.75,35828.25,409638.0,3318774.0,312011.0,319408.19,4570.0,10131.0,-5561.0,404131.0,451829.0,2462342.0,47698.0,312011.0,461170.0,0.0,-9341.0,-9341.0,-1943.81,,,,,,,,,,
FCNCA,TTM,9665000.0,,,,,,,3569000.0,978000.0,2530000.0,2530000.0,174.62,174.58,14492.77,14496.52,,,2591000.0,2829119.36,,,,,,,-9000.0,2591000.0,,0.0,-328000.0,-328000.0,-89880.64,223000.0,,-525000.0,5243000.0,-328000.0,6820000.0,1661000.0,,,
FCUV,TTM,839.623,879.601,-39.978,5309.316,-5349.294,-130.799,213.657,-5266.436,,-5266.436,-5266.436,-0.08,-0.08,65028.37,65028.37,-5349.294,6188.917,-5266.436,-5188.249,,138.584,-130.799,-5127.852,-5005.872,879.601,121.98,-5266.436,-4927.685,,-78.187,-78.187,,,,,,,,,,,
FCX,TTM,24674000.0,16858000.0,7816000.0,919000.0,6897000.0,-370000.0,377000.0,6904000.0,2498000.0,1931000.0,1931000.0,1.33,1.33,1435500.0,1444000.0,6897000.0,17777000.0,1931000.0,1927809.1,,370000.0,-370000.0,7274000.0,9500000.0,16858000.0,2226000.0,1931000.0,9495000.0,0.0,5000.0,5000.0,1809.1,,,,,,,,7000.0,,
FDBC,TTM,70182.0,,,,,,,17490.0,1689.0,15801.0,15801.0,2.76,2.74,5711.07,5749.52,,,15801.0,15844.36,,,,,,,5896.0,15801.0,,0.0,-48.0,-48.0,-4.64,,,251.0,52895.0,-48.0,59852.0,1120.0,,,
